source_id,path,kind,authority,status,version,owner,feature_ids,tags,updated_at,expires_at,access_scope,conflict_group,resolution_state
PROJECT_AGENTS,AGENTS.md,workflow,canonical,active,v2,producer,GLOBAL,authority;workflow;penpot,2026-07-26,,project,,
PROJECT_WORKFLOW,docs/WORKFLOW.md,workflow,canonical,active,WORKFLOW-2,producer,GLOBAL,workflow;gates;penpot,2026-07-26,,project,,
PROJECT_PROFILE,docs/project_profile.yaml,workflow,canonical,active,v2,producer,GLOBAL,profile;roles;sources;penpot,2026-07-26,,project,,
ACTIVE_SCOPE,docs/active_scope.yaml,pm,canonical,active,v3,producer,GLOBAL,scope;locks;priority;runtime-slice-approved;no-active-write;scale-out-false,2026-07-26,,project,,
PM_HANDOFF,docs/PM_HANDOFF.md,pm,approved,active,v3,producer,GLOBAL,handoff;status;runtime-slice-approved;no-active-write;scale-out-false,2026-07-26,,project,,
DESIGN_INDEX,docs/design_index.md,design,approved,active,v3,design_owner,GLOBAL,design;index;runtime-slice-approved;penpot,2026-07-26,,project,,
CONFIG_INDEX,docs/config_index.md,config,approved,active,v3,design_owner,GLOBAL,config;index;runtime-integrated;seven-tables,2026-07-26,,project,,
FEATURE_PROGRESS,PM/feature_progress.xlsx,pm,approved,active,v3,producer,GLOBAL,features;priority;progress;runtime-slice-approved;scale-out-false,2026-07-26,,project,,
ALIYUN_PROFILE,production/deployment/aliyun-profile.yaml,deployment,canonical,disabled,v1,engineering_owner,GLOBAL,server;deployment;aliyun;not_present,2026-07-25,,project,,
RAG_TOOL,tools/game_project_rag.py,code,canonical,active,v1,engineering_owner,GLOBAL,rag;retrieval;indexing,2026-07-25,,project,,
TASK_CONTRACT,docs/task_contract.md,pm,canonical,active,v3,producer,GLOBAL,task;contract;closed;runtime-slice-approved;scale-out-false,2026-07-26,,project,,
PRODUCT_PLAN,docs/roadmaps/PRODUCT-PLAN-001-city-of-animals.md,design,approved,active,PRODUCT-PLAN-001,producer,GLOBAL,product;plan;roadmap,2026-07-25,,project,,
CONTENT_LADDER,docs/roadmaps/PLAN-001-original-farm-town-content-ladder.md,design,approved,active,PLAN-001,producer,GLOBAL,content;roadmap;feature-order,2026-07-25,,project,,
CORE_LOOP,docs/design/CORE-LOOP-001-original-farm-town-core-loop.md,design,approved,active,CORE-LOOP.1,design_owner,GLOBAL,core-loop;production;orders,2026-07-25,,project,,
CORE_FUNCTIONS,docs/design/CORE-FUNCTIONS-001-original-farm-town-design.md,design,approved,active,CORE-FUNCTIONS.1,design_owner,GLOBAL,core-functions;farm-town;systems,2026-07-25,,project,,
F003_SOURCE,docs/features/F-003-farm-town-foundation-v2.md,design,approved,active,F003-FARM.2,design_owner,F-003,farm;foundation;accepted-baseline,2026-07-25,,project,,
F003_VQ_CONTRACT,docs/design/F003-VQ.1-visual-quality-contract.md,art,approved,active,F003-VQ.1,art_owner,F-003,visual-quality;runtime-slice;no-scale-out,2026-07-25,,project,,
F004_SOURCE,docs/features/F-004-farm-district-industry-i.md,design,supporting,superseded,F004-DISTRICT.1,design_owner,F-004,district;industry;figma-blocked;not-runtime;migration-input,2026-07-25,,project,F004_PRODUCT_DIRECTION,resolved
F003_CFG_ITEMS,config/tables/f003_v2_items.csv,config,approved,active,F003-FARM.2,design_owner,F-003,items;storage;economy,2026-07-25,,project,,
F003_CFG_CROPS,config/tables/f003_v2_crops.csv,config,approved,active,F003-FARM.2,design_owner,F-003,crops;field;production,2026-07-25,,project,,
F003_CFG_STORAGE,config/tables/f003_v2_storage.csv,config,approved,active,F003-FARM.2,design_owner,F-003,storage;capacity;economy,2026-07-25,,project,,
F003_CFG_RECIPES,config/tables/f003_v2_recipes.csv,config,approved,active,F003-FARM.2,design_owner,F-003,recipes;machines;queues,2026-07-25,,project,,
F003_CFG_ANIMALS,config/tables/f003_v2_animals.csv,config,approved,active,F003-FARM.2,design_owner,F-003,animals;production;pens,2026-07-25,,project,,
F003_CFG_BUILDINGS,config/tables/f003_v2_buildings.csv,config,approved,active,F003-FARM.2,design_owner,F-003,buildings;footprints;world,2026-07-25,,project,,
F003_CFG_REQUESTS,config/tables/f003_v2_requests.csv,config,approved,active,F003-FARM.2,design_owner,F-003,requests;orders;rewards,2026-07-25,,project,,
